2020-04-09 08:36:43.377 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 08:36:45.627 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 08:40:29.221 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 08:40:31.221 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 08:41:51.018 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 08:41:52.893 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeDeletedException.<init> - station 3 address 10 Downing Str Can not be deleted
2020-04-09 08:41:53.018 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 08:42:57.080 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 08:44:26.205 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeDeletedException.<init> - station 3 address 10 Downing Str Can not be deleted
2020-04-09 08:44:33.237 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 08:46:44.424 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 08:46:46.315 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeDeletedException.<init> - station 3 address 10 Downing Str Can not be deleted
2020-04-09 08:46:46.393 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 08:58:48.206 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 08:58:50.393 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeDeletedException.<init> - station 3 address 748 Townings Dr Can not be deleted
2020-04-09 08:58:50.503 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 09:00:02.549 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 09:00:04.784 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeDeletedException.<init> - station 99 address 100 Downing Str Can not be deleted
2020-04-09 09:00:04.846 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 09:01:15.008 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 09:01:19.274 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 09:01:20.477 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationNotFoundException.<init> - station 3 does not exist
2020-04-09 09:01:20.883 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeModifyException.<init> - station 10 address 748 Townings Dr Can not be modify
2020-04-09 09:01:21.102 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeDeletedException.<init> - station 3 address 10 Downing Str Can not be deleted
2020-04-09 09:01:21.180 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 09:01:21.180 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 09:01:37.180 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
